CODEMP;CODPROD;DESCRPROD;REFERENCIA;CODLOCAL;DESCRLOCAL;CONTROLE;ESTOQUE;RESERVADO;DISPONIVEL;ATIVO;CODGRUPOPROD;DESCRGRUPOPROD
6;172181;TAMPA OLEO MOTOR SCANIA / MB PLASTICA ORIGINAL;172181;101;LOCAL WMS; ;1;1;0;S;11301;CHAPA DO ASSOALHO
6;172316;JOGO ARRUELA ENCOSTO VIRABREQUM MWM X10 / X12 STD;172316;101;LOCAL WMS; ;4;0;4;S;10102;CABECOTE
6;172422;COMANDO VALVULAS OM924 C/ ENGRENAGEM;172422;101;LOCAL WMS; ;1;0;1;S;10101;BLOCO DOS CILINDROS
6;172860;KIT VALVULA C/ ANEL TERMOSTATICA MB 71 GRAUS;172860;101;LOCAL WMS; ;1;0;1;S;10701;ALTERNADOR
6;172938;CONJ. EMBOLO + ANEL TOP BRAKE CABECOTE VALVULA MBB;172938;101;LOCAL WMS; ;6;0;6;S;10301;CARCACA DE MUDANCAS
6;172940;JOGO REPARO MBB G60/85;172940;101;LOCAL WMS; ;15;1;14;S;10301;CARCACA DE MUDANCAS
6;173168;LUVA AJUSTE CABECOTE MOTOR 17X20X16MM ;173168;101;LOCAL WMS; ;2;2;0;S;11301;CHAPA DO ASSOALHO
6;173216;ELEMENTO FILTRO LUBRIFICANTE OM352;173216;101;LOCAL WMS; ;1;1;0;S;10801;FILTRO DE AR
6;173299;TUBO LIGACAO BOMBA AGUA  BORRACHA;173299;101;LOCAL WMS; ;1;1;0;S;10101;BLOCO DOS CILINDROS
6;173342;TUCHO VALVULA OM904/906/924/926   (N);173342;101;LOCAL WMS; ;20;16;4;S;10101;BLOCO DOS CILINDROS
6;173345;MEMBRANA SEPARADOR DE OLEO;173345;101;LOCAL WMS; ;2;0;2;S;11301;CHAPA DO ASSOALHO
6;173375;ROLAMENTO LATERAL COROA/DIFERENCIAL 85X130X30MM;173375;101;LOCAL WMS; ;4;0;4;S;11001;ROLAMENTO
6;173376;ROLAMENTO DIFERENCIAL;173376;101;LOCAL WMS; ;1;0;1;S;11001;ROLAMENTO
6;173385;JOGO REPARO COMPLETO TRANSFERENCIA/REDUZIDA MBB G210;173385;101;LOCAL WMS; ;33;12;21;S;10401;EIX DIANT/TRAS/TRUCK/CARRETA
6;173604;BOMBA OLEO MOTOR OM457 2005 / 1938 / 2638 / AXOR;173604;101;LOCAL WMS; ;1;0;1;S;10101;BLOCO DOS CILINDROS
6;173605;VALVULA ALIVIO BOMBA OLEO OM457;173605;101;LOCAL WMS; ;2;0;2;S;10101;BLOCO DOS CILINDROS
6;173612;PARAFUSO JETCOOLER PISTAO MOTOR MBB OM457 EURO V;173612;101;LOCAL WMS; ;30;6;24;S;10301;CARCACA DE MUDANCAS
