Seq_Recebimento_Canhoto,Nro_Nota_Fiscal,Serie_Nota_Fiscal,Data_Recebimento,Cod_Empresa,Nome_Fantasia_Empresa,Data_Hora_Inclusao,Cod_Usuario_Inclusao,Nome_Usuario,Nro_Unico,Cod_Parceiro,Nome_Parceiro,Data_Negociacao,Data_Prev_Fin,Nro_CTe,Observacao,Cod_Transportadora,Transportadora,Cod_Vendedor,Vendedor,Valor_Nota,Cod_Situacao_WMS,Status_WMS,Data_Recebimento_WMS,Conferencia_Final
99,465887,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:06:25,99,GUILHERME.SANTOS,1189667,8597,MORELATE SUDESTE DISTRIBUIDORA DE AUTOPECAS SA F008112,27012026 00:00:00,01022026 00:00:00,,,9383,JTO TRANSPORTES LTDA C572161,6.0,FELIPE PEREIRA,331.74,,Sem WMS,,
98,905097,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:06:17,99,GUILHERME.SANTOS,1189663,4210,DIBRACAM COMERCIAL LIMITADA F000822,27012026 00:00:00,01022026 00:00:00,,,9383,JTO TRANSPORTES LTDA C572161,7.0,NEVES,459.11,,Sem WMS,,
97,165273,,30012026 00:00:00,7,MMARRA - ITUMBIARA (GO),30012026 19:06:06,99,GUILHERME.SANTOS,1189603,1,MMARRA  RIBEIRAO PRETO SP,28012026 00:00:00,01022026 00:00:00,,,22053,TRANSF RIBEIRÃO PRETO,0.0,<SEM VENDEDOR>,5346.83,,Sem WMS,,
96,905435,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:05:54,99,GUILHERME.SANTOS,1191881,4210,DIBRACAM COMERCIAL LIMITADA F000822,28012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,2603.07,6.0,Armazenado,31012026 00:00:00,S
95,8079,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:05:34,99,GUILHERME.SANTOS,1191807,13018,CIA BRASILEIRA DIST AUTO SA,28012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,8.0,GUILHERME TRINDADE,797.49,6.0,Armazenado,30012026 00:00:00,S
94,515879,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:05:22,99,GUILHERME.SANTOS,1190860,2467,ISAPA IMPORTACAO E COMERCIO LTDA F006440,27012026 00:00:00,01022026 00:00:00,,,502,RODONAVES TRANSPORTES E ENCOMENDAS LTDA C000982,0.0,<SEM VENDEDOR>,4616.56,,Sem WMS,,
93,515879,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:05:07,99,GUILHERME.SANTOS,1190860,2467,ISAPA IMPORTACAO E COMERCIO LTDA F006440,27012026 00:00:00,01022026 00:00:00,,,502,RODONAVES TRANSPORTES E ENCOMENDAS LTDA C000982,0.0,<SEM VENDEDOR>,4616.56,,Sem WMS,,
92,210749,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:04:57,99,GUILHERME.SANTOS,1191133,1248,PERIM COM DE AUTO PECAS LTDA C007668,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,9628.44,6.0,Armazenado,30012026 00:00:00,S
91,33947,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:04:37,99,GUILHERME.SANTOS,1191818,9304,COMPANHIA BRASILEIRA DE DISTRIBUICAO  SA F008733,29012026 00:00:00,01022026 00:00:00,,,0,SEM PARCEIRO,7.0,NEVES,628.65,6.0,Armazenado,30012026 00:00:00,S
90,332675,,30012026 00:00:00,1,MMARRA - RIBEIRAO PRETO (SP),30012026 19:04:28,99,GUILHERME.SANTOS,1190914,13353,FABBOF INDUSTRIA METALURGICA LTDA,26012026 00:00:00,01022026 00:00:00,,,57230,EXPRESSO SAO MIGUEL S/A,7.0,NEVES,3272.63,,Sem WMS,,
